t,x(t),v(t),F(t) (added)
0.02,10,0,-1000
0.04,9.996,-0.2,-999.6
0.06,9.988002,-0.39992,-998.8002
0.08,9.976008,-0.59968,-997.6008
0.09999999,9.960025,-0.7992002,-996.0025
0.12,9.940057,-0.9984007,-994.0057
0.14,9.916113,-1.197202,-991.6113
0.16,9.888203,-1.395524,-988.8203
0.18,9.856337,-1.593288,-985.6337
0.2,9.820528,-1.790415,-982.0528
0.22,9.780791,-1.986825,-978.0791
0.24,9.737143,-2.182441,-973.7142
0.26,9.689599,-2.377184,-968.9599
0.28,9.63818,-2.570976,-963.818
0.3,9.582905,-2.76374,-958.2905
0.32,9.523797,-2.955398,-952.3797
0.34,9.460879,-3.145874,-946.088
0.36,9.394177,-3.335091,-939.4177
0.38,9.323718,-3.522975,-932.3718
0.4,9.249529,-3.709449,-924.9529
0.42,9.17164,-3.89444,-917.1641
0.4400001,9.090083,-4.077872,-909.0083
0.4600001,9.004889,-4.259674,-900.489
0.4800001,8.916094,-4.439772,-891.6094
0.5000001,8.823732,-4.618093,-882.3732
0.52,8.727841,-4.794568,-872.7841
0.54,8.628459,-4.969125,-862.8459
0.56,8.525625,-5.141694,-852.5625
0.58,8.419381,-5.312207,-841.9381
0.6,8.30977,-5.480594,-830.977
0.6199999,8.196834,-5.64679,-819.6833
0.6399999,8.080619,-5.810726,-808.0619
0.6599999,7.961172,-5.972339,-796.1172
0.6799999,7.838541,-6.131562,-783.8541
0.6999999,7.712774,-6.288333,-771.2774
0.7199998,7.583922,-6.442588,-758.3922
0.7399998,7.452037,-6.594267,-745.2037
0.7599998,7.317171,-6.743308,-731.717
0.7799998,7.179378,-6.889651,-717.9377
0.7999998,7.038713,-7.033238,-703.8713
0.8199998,6.895233,-7.174013,-689.5233
0.8399997,6.748994,-7.311917,-674.8994
0.8599997,6.600057,-7.446897,-660.0057
0.8799997,6.448479,-7.578898,-644.8479
0.8999997,6.294322,-7.707868,-629.4321
0.9199997,6.137647,-7.833754,-613.7646
0.9399996,5.978517,-7.956507,-597.8517
0.9599996,5.816995,-8.076077,-581.6995
0.9799996,5.653147,-8.192417,-565.3147
0.9999996,5.487037,-8.30548,-548.7037
1.02,5.318733,-8.415221,-531.8733
1.04,5.148301,-8.521596,-514.8301
1.06,4.97581,-8.624562,-497.581
1.08,4.801328,-8.724078,-480.1328
1.1,4.624926,-8.820105,-462.4926
1.12,4.446674,-8.912603,-444.6674
1.14,4.266643,-9.001537,-426.6643
1.159999,4.084906,-9.08687,-408.4906
1.179999,3.901534,-9.168569,-390.1534
1.199999,3.716602,-9.246599,-371.6602
1.219999,3.530184,-9.320931,-353.0184
1.239999,3.342353,-9.391535,-334.2353
1.259999,3.153185,-9.458382,-315.3185
1.279999,2.962756,-9.521445,-296.2756
1.299999,2.771142,-9.580701,-277.1143
1.319999,2.57842,-9.636124,-257.842
1.339999,2.384666,-9.687692,-238.4666
1.359999,2.189959,-9.735385,-218.9958
1.379999,1.994375,-9.779184,-199.4375
1.399999,1.797993,-9.819072,-179.7993
1.419999,1.600893,-9.855032,-160.0893
1.439999,1.403152,-9.88705,-140.3152
1.459999,1.204849,-9.915112,-120.4849
1.479999,1.006065,-9.93921,-100.6065
1.499999,0.8068786,-9.959332,-80.68787
1.519999,0.6073692,-9.975469,-60.73692
1.539999,0.4076169,-9.987616,-40.7617
1.559999,0.2077016,-9.995768,-20.77016
1.579999,0.007703155,-9.999922,-0.7703155
1.599999,-0.1922984,-10.00008,19.22984
1.619999,-0.392223,-9.99623,39.2223
1.639999,-0.5919906,-9.988385,59.19907
1.659999,-0.7915215,-9.976545,79.15215
1.679999,-0.9907358,-9.960715,99.07359
1.699999,-1.189554,-9.940901,118.9554
1.719999,-1.387896,-9.917109,138.7896
1.739999,-1.585683,-9.889352,158.5683
1.759999,-1.782836,-9.857638,178.2836
1.779999,-1.979275,-9.821981,197.9276
1.799999,-2.174923,-9.782396,217.4923
1.819999,-2.369701,-9.738898,236.9701
1.839999,-2.563531,-9.691504,256.3531
1.859999,-2.756336,-9.640234,275.6336
1.879999,-2.948038,-9.585107,294.8038
1.899999,-3.138561,-9.526146,313.8561
1.919999,-3.327828,-9.463375,332.7828
1.939999,-3.515765,-9.396818,351.5765
1.959999,-3.702295,-9.326503,370.2295
1.979999,-3.887344,-9.252457,388.7344
1.999999,-4.070838,-9.174709,407.0838
2.019999,-4.252704,-9.093292,425.2704
2.039999,-4.432868,-9.008238,443.2868
2.059999,-4.61126,-8.91958,461.126
2.079999,-4.787807,-8.827355,478.7807
2.099999,-4.962439,-8.731599,496.2439
2.119999,-5.135086,-8.63235,513.5086
2.139999,-5.305679,-8.529648,530.5679
2.159999,-5.47415,-8.423534,547.415
2.179999,-5.640431,-8.314052,564.0431
2.199999,-5.804456,-8.201243,580.4456
2.219999,-5.966159,-8.085155,596.6159
2.239999,-6.125475,-7.965831,612.5475
2.259999,-6.282342,-7.843322,628.2342
2.279999,-6.436696,-7.717675,643.6696
2.299999,-6.588474,-7.588941,658.8474
2.319999,-6.737617,-7.457171,673.7617
2.339998,-6.884066,-7.322419,688.4066
2.359998,-7.027761,-7.184738,702.7761
2.379998,-7.168644,-7.044182,716.8644
2.399998,-7.30666,-6.900809,730.666
2.419998,-7.441754,-6.754676,744.1754
2.439998,-7.573871,-6.605841,757.3871
2.459998,-7.702958,-6.454363,770.2958
2.479998,-7.828964,-6.300304,782.8964
2.499998,-7.951838,-6.143725,795.1838
2.519998,-8.071532,-5.984688,807.1532
2.539998,-8.187998,-5.823257,818.7998
2.559998,-8.301188,-5.659497,830.1188
2.579998,-8.411057,-5.493474,841.1057
2.599998,-8.517562,-5.325253,851.7562
2.619998,-8.62066,-5.154902,862.066
2.639998,-8.720309,-4.982488,872.0309
2.659998,-8.816471,-4.808082,881.6471
2.679998,-8.909106,-4.631752,890.9106
2.699998,-8.998178,-4.45357,899.8177
2.719998,-9.08365,-4.273607,908.365
2.739998,-9.165488,-4.091934,916.5488
2.759998,-9.243661,-3.908624,924.3661
2.779998,-9.318136,-3.723751,931.8136
2.799998,-9.388884,-3.537388,938.8884
2.819998,-9.455875,-3.34961,945.5875
2.839998,-9.519085,-3.160493,951.9085
2.859998,-9.578487,-2.970111,957.8488
2.879998,-9.634058,-2.778541,963.4058
2.899998,-9.685775,-2.58586,968.5775
2.919998,-9.733618,-2.392145,973.3618
2.939998,-9.777567,-2.197472,977.7567
2.959998,-9.817605,-2.001921,981.7605
2.979998,-9.853717,-1.805569,985.3717
2.999998,-9.885887,-1.608495,988.5887
3.019998,-9.914103,-1.410777,991.4103
3.039998,-9.938353,-1.212495,993.8353
3.059998,-9.958627,-1.013728,995.8627
3.079998,-9.974917,-0.8145552,997.4918
3.099998,-9.987219,-0.6150568,998.7219
3.119998,-9.995525,-0.4153124,999.5526
3.139998,-9.999833,-0.2154019,999.9833
3.159998,-10.00014,-0.01540527,1000.014
3.179998,-9.996449,0.1845976,999.645
3.199998,-9.988759,0.3845266,998.8759
3.219998,-9.977073,0.5843017,997.7073
3.239998,-9.961396,0.7838432,996.1396
3.259998,-9.941735,0.9830711,994.1735
3.279998,-9.918097,1.181906,991.8098
3.299998,-9.890492,1.380268,989.0493
3.319998,-9.858931,1.578078,985.8931
3.339998,-9.823425,1.775256,982.3425
3.359998,-9.783991,1.971725,978.3991
3.379997,-9.740643,2.167404,974.0643
3.399997,-9.693398,2.362217,969.3398
3.419997,-9.642277,2.556085,964.2277
3.439997,-9.587298,2.748931,958.7299
3.459997,-9.528485,2.940677,952.8485
3.479997,-9.46586,3.131246,946.5861
3.499997,-9.399449,3.320564,939.9449
3.519997,-9.329278,3.508553,932.9278
3.539997,-9.255375,3.695138,925.5375
3.559997,-9.17777,3.880246,917.777
3.579997,-9.096494,4.063801,909.6494
3.599997,-9.01158,4.245731,901.158
3.619997,-8.92306,4.425963,892.306
3.639997,-8.830972,4.604424,883.0972
3.659997,-8.735351,4.781044,873.535
3.679997,-8.636235,4.95575,863.6235
3.699997,-8.533666,5.128475,853.3666
3.719997,-8.427683,5.299149,842.7683
3.739997,-8.318329,5.467702,831.8329
3.759997,-8.205647,5.634069,820.5648
3.779997,-8.089684,5.798182,808.9684
3.799997,-7.970484,5.959976,797.0484
3.819997,-7.848096,6.119385,784.8096
3.839997,-7.722569,6.276347,772.2569
3.859997,-7.593953,6.430799,759.3953
3.879997,-7.462299,6.582677,746.2299
3.899997,-7.327661,6.731923,732.7661
3.919997,-7.190092,6.878476,719.0092
3.939997,-7.049646,7.022278,704.9646
3.959997,-6.906381,7.163271,690.6381
3.979997,-6.760353,7.301399,676.0353
3.999997,-6.61162,7.436606,661.162
4.019997,-6.460244,7.568838,646.0244
4.039997,-6.306283,7.698043,630.6283
4.059997,-6.1498,7.824169,614.98
4.079997,-5.990857,7.947165,599.0857
4.099997,-5.829517,8.066981,582.9517
4.119997,-5.665845,8.183572,566.5845
4.139997,-5.499907,8.296888,549.9907
4.159997,-5.33177,8.406886,533.177
4.179997,-5.1615,8.513521,516.15
4.199997,-4.989164,8.616751,498.9164
4.219997,-4.814834,8.716534,481.4834
4.239997,-4.638577,8.81283,463.8577
4.259997,-4.460465,8.905602,446.0465
4.279997,-4.280569,8.994811,428.0569
4.299997,-4.09896,9.080422,409.896
4.319997,-3.915712,9.162401,391.5712
4.339997,-3.730898,9.240715,373.0898
4.359997,-3.544591,9.315333,354.4591
4.379997,-3.356866,9.386225,335.6866
4.399997,-3.167799,9.453362,316.7799
4.419997,-2.977465,9.516719,297.7465
4.439997,-2.785939,9.576268,278.5939
4.459997,-2.593299,9.631987,259.3299
4.479997,-2.399622,9.683852,239.9622
4.499997,-2.204986,9.731845,220.4986
4.519997,-2.009467,9.775945,200.9467
4.539997,-1.813144,9.816134,181.3144
4.559997,-1.616096,9.852397,161.6096
4.579997,-1.418402,9.884719,141.8402
4.599997,-1.22014,9.913087,122.014
4.619997,-1.02139,9.93749,102.139
4.639997,-0.8222318,9.957917,82.22318
4.659997,-0.6227446,9.974361,62.27446
4.679996,-0.4230082,9.986816,42.30082
4.699996,-0.2231027,9.995276,22.31027
4.719996,-0.02310793,9.999739,2.310793
4.739996,0.1768961,10.0002,-17.68961
4.759996,0.3768294,9.996663,-37.68293
4.779996,0.5766119,9.989126,-57.66119
4.799996,0.7761638,9.977594,-77.61638
4.819996,0.9754052,9.962071,-97.54052
4.839996,1.174256,9.942563,-117.4256
4.859996,1.372638,9.919078,-137.2638
4.879996,1.57047,9.891625,-157.047
4.899996,1.767675,9.860216,-176.7675
4.919996,1.964172,9.824862,-196.4172
4.939996,2.159883,9.785579,-215.9883
4.959996,2.354731,9.742381,-235.4731
4.979996,2.548637,9.695287,-254.8637
4.999996,2.741523,9.644314,-274.1523
5.019996,2.933313,9.589483,-293.3313
5.039996,3.123929,9.530817,-312.3929
5.059996,3.313296,9.468338,-331.3296
5.079996,3.501338,9.402072,-350.1338
5.099996,3.687979,9.332046,-368.7979
5.119996,3.873144,9.258286,-387.3144
5.139996,4.056761,9.180822,-405.6761
5.159996,4.238755,9.099688,-423.8755
5.179996,4.419053,9.014913,-441.9053
5.199996,4.597584,8.926532,-459.7584
5.219996,4.774275,8.83458,-477.4275
5.239996,4.949057,8.739095,-494.9057
5.259996,5.12186,8.640114,-512.186
5.279996,5.292613,8.537677,-529.2613
5.299996,5.461249,8.431825,-546.1249
5.319996,5.627701,8.322599,-562.7701
5.339996,5.791902,8.210046,-579.1902
5.359996,5.953786,8.094208,-595.3787
5.379996,6.113289,7.975132,-611.3289
5.399996,6.270346,7.852866,-627.0346
5.419996,6.424895,7.727459,-642.4895
5.439996,6.576875,7.598961,-657.6875
5.459996,6.726223,7.467424,-672.6223
5.479996,6.872881,7.3329,-687.2881
5.499996,7.01679,7.195442,-701.679
5.519996,7.157892,7.055106,-715.7892
5.539996,7.296131,6.911948,-729.6131
5.559996,7.431452,6.766026,-743.1452
5.579996,7.5638,6.617396,-756.38
5.599996,7.693122,6.46612,-769.3123
5.619996,7.819367,6.312258,-781.9368
5.639996,7.942485,6.15587,-794.2485
5.659996,8.062426,5.997021,-806.2426
5.679996,8.179141,5.835772,-817.9141
5.699996,8.292584,5.672189,-829.2584
5.719995,8.402711,5.506338,-840.2711
5.739995,8.509477,5.338284,-850.9477
5.759995,8.612839,5.168094,-861.2839
5.779995,8.712755,4.995837,-871.2755
5.799995,8.809187,4.821582,-880.9187
5.819995,8.902095,4.645399,-890.2095
5.839995,8.991442,4.467357,-899.1442
5.859995,9.077192,4.287528,-907.7192
5.879995,9.159312,4.105984,-915.9312
5.899995,9.237768,3.922798,-923.7768
5.919995,9.312529,3.738043,-931.2529
5.939995,9.383564,3.551792,-938.3564
5.959995,9.450847,3.364121,-945.0847
5.979995,9.514349,3.175104,-951.4349
5.999995,9.574045,2.984817,-957.4045
6.019995,9.629912,2.793336,-962.9912
6.039995,9.681927,2.600738,-968.1927
6.059995,9.730069,2.407099,-973.0069
6.079995,9.774319,2.212498,-977.4319
6.099995,9.814659,2.017012,-981.4659
6.119995,9.851073,1.820719,-985.1073
6.139995,9.883547,1.623697,-988.3547
6.159995,9.912067,1.426026,-991.2067
6.179995,9.936624,1.227785,-993.6624
6.199995,9.957205,1.029052,-995.7205
6.219995,9.973803,0.8299084,-997.3802
6.239995,9.986411,0.6304323,-998.6411
6.259995,9.995026,0.4307041,-999.5026
6.279995,9.999641,0.2308036,-999.9641
6.299995,10.00026,0.03081078,-1000.026
6.319995,9.996874,-0.1691944,-999.6874
6.339995,9.989491,-0.3691319,-998.9492
6.359995,9.978113,-0.5689217,-997.8113
6.379995,9.962744,-0.7684839,-996.2744
6.399995,9.943389,-0.9677388,-994.3389
6.419995,9.920056,-1.166607,-992.0056
6.439995,9.892756,-1.365008,-989.2756
6.459995,9.861499,-1.562863,-986.1499
6.479995,9.826297,-1.760093,-982.6297
6.499995,9.787165,-1.956619,-978.7165
6.519995,9.744118,-2.152362,-974.4117
6.539995,9.697173,-2.347244,-969.7173
6.559995,9.646349,-2.541188,-964.6349
6.579995,9.591666,-2.734115,-959.1666
6.599995,9.533147,-2.925948,-953.3147
6.619995,9.470815,-3.116611,-947.0815
6.639995,9.404695,-3.306027,-940.4695
6.659995,9.334812,-3.494121,-933.4812
6.679995,9.261196,-3.680817,-926.1196
6.699995,9.183875,-3.866041,-918.3875
6.719995,9.10288,-4.049718,-910.288
6.739995,9.018245,-4.231776,-901.8245
6.759995,8.930002,-4.412141,-893.0002
6.779994,8.838187,-4.590741,-883.8187
6.799994,8.742837,-4.767504,-874.2837
6.819994,8.64399,-4.942361,-864.3989
6.839994,8.541685,-5.115241,-854.1685
6.859994,8.435964,-5.286074,-843.5964
6.879994,8.326868,-5.454793,-832.6868
6.899994,8.214441,-5.621331,-821.4442
6.919994,8.098729,-5.78562,-809.8729
6.939994,7.979777,-5.947594,-797.9777
6.959994,7.857634,-6.10719,-785.7634
6.979994,7.732347,-6.264342,-773.2347
6.999994,7.603967,-6.418989,-760.3967
7.019994,7.472545,-6.571068,-747.2545
7.039994,7.338135,-6.720519,-733.8135
7.059994,7.200789,-6.867282,-720.0789
7.079994,7.060563,-7.011298,-706.0563
7.099994,6.917513,-7.152509,-691.7513
7.119994,6.771696,-7.290859,-677.1696
7.139994,6.62317,-7.426293,-662.317
7.159994,6.471995,-7.558757,-647.1995
7.179994,6.318231,-7.688197,-631.8231
7.199994,6.16194,-7.814561,-616.194
7.219994,6.003184,-7.9378,-600.3184
7.239994,5.842027,-8.057864,-584.2027
7.259994,5.678533,-8.174705,-567.8533
7.279994,5.512768,-8.288275,-551.2768
7.299994,5.344797,-8.39853,-534.4797
7.319994,5.174689,-8.505426,-517.4689
7.339994,5.002511,-8.60892,-500.2511
7.359994,4.828331,-8.70897,-482.8331
7.379994,4.65222,-8.805536,-465.222
7.399994,4.474249,-8.898581,-447.4249
7.419994,4.294487,-8.988066,-429.4488
7.439994,4.113008,-9.073956,-411.3008
7.459994,3.929884,-9.156216,-392.9884
7.479994,3.745188,-9.234814,-374.5188
7.499994,3.558994,-9.309717,-355.8994
7.519994,3.371376,-9.380898,-337.1375
7.539994,3.182409,-9.448325,-318.2409
7.559994,2.99217,-9.511973,-299.2169
7.579994,2.800733,-9.571816,-280.0733
7.599994,2.608177,-9.627831,-260.8177
7.619994,2.414577,-9.679995,-241.4577
7.639994,2.220011,-9.728286,-222.0011
7.659994,2.024557,-9.772686,-202.4557
7.679994,1.828294,-9.813177,-182.8294
7.699994,1.631299,-9.849743,-163.1299
7.719994,1.433652,-9.882369,-143.3652
7.739994,1.235431,-9.911042,-123.5431
7.759994,1.036716,-9.935751,-103.6716
7.779994,0.837586,-9.956486,-83.75861
7.799994,0.6381213,-9.973237,-63.81213
7.819993,0.4384013,-9.985999,-43.84013
7.839993,0.238506,-9.994767,-23.8506
7.859993,0.03851525,-9.999537,-3.851526
7.879993,-0.1614909,-10.00031,16.14909
7.899993,-0.3614325,-9.997078,36.14325
7.919993,-0.5612295,-9.989849,56.12295
7.939993,-0.760802,-9.978624,76.0802
7.959993,-0.9600701,-9.963408,96.00701
7.979993,-1.158954,-9.944207,115.8954
7.999993,-1.357375,-9.921028,135.7375
8.019994,-1.555252,-9.893881,155.5252
8.039994,-1.752508,-9.862776,175.2508
8.059995,-1.949062,-9.827725,194.9063
8.079995,-2.144837,-9.788744,214.4837
8.099996,-2.339754,-9.745848,233.9754
8.119996,-2.533735,-9.699053,253.3735
8.139997,-2.726703,-9.648378,272.6703
8.159997,-2.91858,-9.593844,291.858
8.179997,-3.109289,-9.535473,310.9289
8.199998,-3.298755,-9.473287,329.8755
8.219998,-3.486901,-9.407311,348.6901
8.239999,-3.673652,-9.337573,367.3652
8.259999,-3.858934,-9.2641,385.8934
8.28,-4.042673,-9.186921,404.2673
8.3,-4.224794,-9.106068,422.4794
8.320001,-4.405225,-9.021572,440.5225
8.340001,-4.583895,-8.933468,458.3895
8.360002,-4.760731,-8.84179,476.0731
8.380002,-4.935662,-8.746575,493.5662
8.400002,-5.10862,-8.647862,510.862
8.420003,-5.279533,-8.54569,527.9534
8.440003,-5.448335,-8.440099,544.8335
8.460004,-5.614958,-8.331132,561.4958
8.480004,-5.779335,-8.218833,577.9335
8.500005,-5.9414,-8.103247,594.14
8.520005,-6.101088,-7.984419,610.1088
8.540006,-6.258336,-7.862397,625.8336
8.560006,-6.413081,-7.73723,641.308
8.580007,-6.56526,-7.608969,656.526
8.600007,-6.714813,-7.477664,671.4813
8.620008,-6.861681,-7.343367,686.168
8.640008,-7.005803,-7.206133,700.5803
8.660008,-7.147123,-7.066017,714.7123
8.680009,-7.285585,-6.923075,728.5585
8.700009,-7.421132,-6.777363,742.1132
8.72001,-7.553711,-6.62894,755.3711
8.74001,-7.683268,-6.477866,768.3268
8.760011,-7.809752,-6.3242,780.9752
8.780011,-7.933112,-6.168005,793.3112
8.800012,-8.053299,-6.009343,805.3299
8.820012,-8.170264,-5.848277,817.0264
8.840013,-8.283961,-5.684871,828.3961
8.860013,-8.394345,-5.519192,839.4345
8.880013,-8.501371,-5.351305,850.1371
8.900014,-8.604997,-5.181278,860.4997
8.920014,-8.70518,-5.009178,870.518
8.940015,-8.801882,-4.835074,880.1882
8.960015,-8.895062,-4.659036,889.5062
8.980016,-8.984685,-4.481135,898.4685
9.000016,-9.070714,-4.301441,907.0714
9.020017,-9.153114,-4.120027,915.3114
9.040017,-9.231853,-3.936965,923.1854
9.060018,-9.3069,-3.752328,930.69
9.080018,-9.378223,-3.56619,937.8223
9.100019,-9.445796,-3.378625,944.5796
9.120019,-9.50959,-3.189709,950.959
9.140019,-9.56958,-2.999518,956.958
9.16002,-9.625743,-2.808126,962.5743
9.18002,-9.678055,-2.615611,967.8055
9.200021,-9.726496,-2.42205,972.6496
9.220021,-9.771046,-2.22752,977.1046
9.240022,-9.811687,-2.032099,981.1688
9.260022,-9.848405,-1.835865,984.8405
9.280023,-9.881183,-1.638897,988.1183
9.300023,-9.910008,-1.441274,991.0009
9.320024,-9.93487,-1.243073,993.487
9.340024,-9.955757,-1.044376,995.5757
9.360024,-9.972662,-0.845261,997.2662
9.380025,-9.985579,-0.6458078,998.5579
9.400025,-9.9945,-0.4460962,999.45
9.420026,-9.999424,-0.2462062,999.9424
9.440026,-10.00035,-0.04621777,1000.035
9.460027,-9.997272,0.1537892,999.7272
9.480027,-9.990198,0.3537346,999.0198
9.500028,-9.979127,0.5535386,997.9127
9.520028,-9.964065,0.7531211,996.4064
9.540029,-9.945017,0.9524024,994.5017
9.560029,-9.92199,1.151303,992.199
9.580029,-9.894996,1.349743,989.4996
9.60003,-9.864043,1.547642,986.4043
9.62003,-9.829144,1.744923,982.9144
9.640031,-9.790315,1.941506,979.0315
9.660031,-9.747568,2.137313,974.7568
9.680032,-9.700923,2.332264,970.0923
9.700032,-9.650397,2.526282,965.0397
9.720033,-9.596011,2.71929,959.6011
9.740033,-9.537786,2.911211,953.7786
9.760034,-9.475747,3.101966,947.5747
9.780034,-9.409918,3.291481,940.9918
9.800035,-9.340324,3.47968,934.0325
9.820035,-9.266994,3.666486,926.6995
9.840035,-9.189958,3.851826,918.9958
9.860036,-9.109245,4.035625,910.9246
9.880036,-9.024889,4.21781,902.4889
9.900037,-8.936923,4.398307,893.6923
9.920037,-8.845382,4.577046,884.5381
9.940038,-8.750302,4.753953,875.0302
9.960038,-8.651723,4.928959,865.1723
9.980039,-8.549683,5.101994,854.9683
10.00004,-8.444222,5.272988,844.4222
10.02004,-8.335385,5.441872,833.5385
10.04004,-8.223214,5.60858,822.3214
10.06004,-8.107753,5.773044,810.7753
10.08004,-7.989049,5.935199,798.9049
10.10004,-7.867149,6.09498,786.715
10.12004,-7.742103,6.252323,774.2103
10.14004,-7.61396,6.407165,761.396
10.16004,-7.482771,6.559444,748.2771
10.18004,-7.348589,6.7091,734.8589
10.20004,-7.211468,6.856071,721.1468
10.22004,-7.071462,7.000301,707.1462
10.24004,-6.928627,7.14173,692.8627
10.26005,-6.783021,7.280303,678.3021
10.28005,-6.634702,7.415963,663.4702
10.30005,-6.483728,7.548657,648.3729
10.32005,-6.330162,7.678332,633.0162
10.34005,-6.174063,7.804935,617.4063
10.36005,-6.015494,7.928416,601.5494
10.38005,-5.85452,8.048726,585.452
10.40005,-5.691204,8.165816,569.1204
10.42005,-5.525611,8.27964,552.5611
10.44005,-5.357808,8.390152,535.7808
10.46005,-5.187862,8.497308,518.7862
10.48005,-5.015841,8.601065,501.584
