t,x(t),v(t),F(t) (added)
10.50005,-4.841813,8.701382,484.1813
10.52005,-4.665849,8.798218,466.5849
10.54005,-4.488018,8.891535,448.8018
10.56005,-4.308392,8.981296,430.8392
10.58005,-4.127043,9.067464,412.7043
10.60005,-3.944043,9.150004,394.4043
10.62005,-3.759465,9.228886,375.9465
10.64005,-3.573384,9.304075,357.3383
10.66005,-3.385873,9.375543,338.5873
10.68005,-3.197008,9.44326,319.7008
10.70006,-3.006864,9.5072,300.6864
10.72006,-2.815517,9.567337,281.5517
10.74006,-2.623044,9.623648,262.3044
10.76006,-2.429522,9.676108,242.9522
10.78006,-2.235028,9.724699,223.5028
10.80006,-2.03964,9.7694,203.964
10.82006,-1.843436,9.810192,184.3436
10.84006,-1.646495,9.847061,164.6495
10.86006,-1.448895,9.879991,144.8895
10.88006,-1.250715,9.908969,125.0715
10.90006,-1.052036,9.933983,105.2036
10.92006,-0.8529353,9.955024,85.29353
10.94006,-0.6534936,9.972082,65.34937
10.96006,-0.4537906,9.985152,45.37906
10.98006,-0.253906,9.994228,25.3906
11.00006,-0.05391991,9.999307,5.391991
11.02006,0.1460878,10.00039,-14.60878
11.04006,0.3460371,9.997463,-34.60371
11.06006,0.5458479,9.990542,-54.58479
11.08006,0.7454404,9.979626,-74.54404
11.10006,0.9447348,9.964717,-94.47347
11.12006,1.143651,9.945822,-114.3651
11.14007,1.34211,9.922949,-134.211
11.16007,1.540032,9.896107,-154.0032
11.18007,1.737338,9.865306,-173.7338
11.20007,1.93395,9.830559,-193.395
11.22007,2.129787,9.79188,-212.9787
11.24007,2.324773,9.749284,-232.4773
11.26007,2.518829,9.702788,-251.8829
11.28007,2.711877,9.652411,-271.1877
11.30007,2.90384,9.598174,-290.384
11.32007,3.094642,9.540097,-309.4642
11.34007,3.284206,9.478205,-328.4206
11.36007,3.472456,9.41252,-347.2456
11.38007,3.659318,9.343071,-365.9318
11.40007,3.844716,9.269885,-384.4716
11.42007,4.028575,9.19299,-402.8575
11.44007,4.210824,9.112419,-421.0824
11.46007,4.391388,9.028203,-439.1388
11.48007,4.570195,8.940375,-457.0195
11.50007,4.747175,8.848971,-474.7175
11.52007,4.922256,8.754028,-492.2256
11.54007,5.095367,8.655583,-509.5367
11.56007,5.26644,8.553676,-526.644
11.58008,5.435407,8.448347,-543.5407
11.60008,5.6022,8.339639,-560.22
11.62008,5.766752,8.227594,-576.6752
11.64008,5.928997,8.112259,-592.8997
11.66008,6.088871,7.993679,-608.887
11.68008,6.246308,7.871902,-624.6309
11.70008,6.401248,7.746975,-640.1248
11.72008,6.553627,7.61895,-655.3627
11.74008,6.703384,7.487878,-670.3384
11.76008,6.850461,7.35381,-685.0461
11.78008,6.994797,7.216801,-699.4797
11.80008,7.136335,7.076905,-713.6335
11.82008,7.275019,6.934178,-727.5019
11.84008,7.410792,6.788678,-741.0792
11.86008,7.543602,6.640462,-754.3602
11.88008,7.673393,6.48959,-767.3394
11.90008,7.800116,6.336123,-780.0115
11.92008,7.923718,6.18012,-792.3718
11.94008,8.044151,6.021646,-804.4152
11.96008,8.161366,5.860763,-816.1367
11.98008,8.275317,5.697536,-827.5317
12.00008,8.385958,5.532029,-838.5958
12.02009,8.493244,5.36431,-849.3244
12.04009,8.597133,5.194445,-859.7133
12.06009,8.697583,5.022502,-869.7583
12.08009,8.794554,4.848551,-879.4554
12.10009,8.888007,4.67266,-888.8007
12.12009,8.977905,4.4949,-897.7905
12.14009,9.064212,4.315341,-906.4212
12.16009,9.146893,4.134057,-914.6893
12.18009,9.225915,3.951119,-922.5915
12.20009,9.301247,3.766601,-930.1246
12.22009,9.372858,3.580576,-937.2858
12.24009,9.440721,3.393119,-944.0721
12.26009,9.504807,3.204304,-950.4807
12.28009,9.565091,3.014208,-956.5091
12.30009,9.62155,2.822906,-962.155
12.32009,9.674159,2.630476,-967.4159
12.34009,9.722898,2.436992,-972.2899
12.36009,9.767749,2.242534,-976.7749
12.38009,9.808692,2.047179,-980.8692
12.40009,9.845712,1.851006,-984.5712
12.42009,9.878794,1.654091,-987.8794
12.44009,9.907924,1.456516,-990.7924
12.4601,9.933091,1.258357,-993.3091
12.4801,9.954285,1.059695,-995.4285
12.5001,9.971497,0.8606095,-997.1497
12.5201,9.98472,0.6611796,-998.472
12.5401,9.99395,0.4614852,-999.395
12.5601,9.999182,0.2616062,-999.9182
12.5801,10.00041,0.06162259,-1000.041
12.6001,9.997646,-0.1383857,-999.7646
12.6201,9.99088,-0.3383386,-999.088
12.6401,9.980117,-0.5381562,-998.0117
12.6601,9.965362,-0.7377585,-996.5361
12.6801,9.94662,-0.9370657,-994.662
12.7001,9.9239,-1.135998,-992.39
12.7201,9.89721,-1.334476,-989.721
12.7401,9.866562,-1.53242,-986.6562
12.7601,9.831966,-1.729751,-983.1967
12.7801,9.793439,-1.926391,-979.3439
12.8001,9.750994,-2.12226,-975.0994
12.8201,9.704648,-2.31728,-970.4648
12.8401,9.654421,-2.511373,-965.4421
12.8601,9.600331,-2.704461,-960.0331
12.88011,9.542402,-2.896468,-954.2402
12.90011,9.480656,-3.087316,-948.0656
12.92011,9.415117,-3.276929,-941.5117
12.94011,9.345813,-3.465231,-934.5813
12.96011,9.27277,-3.652148,-927.277
12.98011,9.196018,-3.837603,-919.6018
13.00011,9.115588,-4.021523,-911.5588
13.02011,9.031511,-4.203835,-903.1511
13.04011,8.943822,-4.384465,-894.3822
13.06011,8.852555,-4.563341,-885.2556
13.08011,8.757748,-4.740392,-875.7748
13.10011,8.659437,-4.915547,-865.9437
13.12011,8.557662,-5.088736,-855.7662
13.14011,8.452464,-5.259889,-845.2464
13.16011,8.343885,-5.428938,-834.3885
13.18011,8.231969,-5.595816,-823.1969
13.20011,8.116759,-5.760456,-811.6759
13.22011,7.998303,-5.922791,-799.8303
13.24011,7.876648,-6.082757,-787.6649
13.26011,7.751842,-6.24029,-775.1843
13.28011,7.623936,-6.395327,-762.3936
13.30011,7.49298,-6.547806,-749.298
13.32012,7.359027,-6.697665,-735.9027
13.34012,7.22213,-6.844846,-722.213
13.36012,7.082344,-6.989288,-708.2344
13.38012,6.939725,-7.130935,-693.9725
13.40012,6.794331,-7.26973,-679.433
13.42012,6.646218,-7.405616,-664.6218
13.44012,6.495448,-7.538541,-649.5447
13.46012,6.342079,-7.66845,-634.2079
13.48012,6.186173,-7.795291,-618.6173
13.50012,6.027792,-7.919015,-602.7792
13.52012,5.867001,-8.039571,-586.7001
13.54012,5.703863,-8.156911,-570.3863
13.56012,5.538443,-8.270988,-553.8443
13.58012,5.370808,-8.381758,-537.0808
13.60012,5.201025,-8.489174,-520.1025
13.62012,5.02916,-8.593194,-502.916
13.64012,4.855285,-8.693777,-485.5285
13.66012,4.679468,-8.790883,-467.9468
13.68012,4.501778,-8.884473,-450.1778
13.70012,4.322288,-8.974508,-432.2288
13.72012,4.141069,-9.060954,-414.1069
13.74012,3.958193,-9.143776,-395.8193
13.76013,3.773735,-9.222939,-377.3734
13.78013,3.587766,-9.298414,-358.7766
13.80013,3.400363,-9.37017,-340.0363
13.82013,3.211599,-9.438177,-321.1599
13.84013,3.021551,-9.502409,-302.1551
13.86013,2.830294,-9.56284,-283.0294
13.88013,2.637905,-9.619447,-263.7905
13.90013,2.444461,-9.672205,-244.4461
13.92013,2.250039,-9.721094,-225.0039
13.94013,2.054718,-9.766095,-205.4718
13.96013,1.858574,-9.80719,-185.8574
13.98013,1.661687,-9.844361,-166.1687
14.00013,1.464135,-9.877595,-146.4135
14.02013,1.265997,-9.906878,-126.5997
14.04013,1.067353,-9.932198,-106.7353
14.06013,0.8682824,-9.953545,-86.82824
14.08013,0.6688642,-9.97091,-66.88642
14.10013,0.4691784,-9.984287,-46.91784
14.12013,0.2693051,-9.99367,-26.93051
14.14013,0.06932391,-9.999057,-6.932391
14.16013,-0.130685,-10.00044,13.0685
14.18013,-0.3306415,-9.997829,33.06416
14.20014,-0.5304658,-9.991217,53.04659
14.22014,-0.730078,-9.980607,73.0078
14.24014,-0.9293981,-9.966005,92.9398
14.26014,-1.128346,-9.947417,112.8346
14.28014,-1.326844,-9.92485,132.6844
14.30014,-1.52481,-9.898314,152.481
14.32014,-1.722166,-9.867817,172.2166
14.34014,-1.918833,-9.833374,191.8833
14.36014,-2.114733,-9.794997,211.4733
14.38014,-2.309788,-9.752703,230.9787
14.40014,-2.503918,-9.706507,250.3918
14.42014,-2.697046,-9.656428,269.7046
14.44014,-2.889096,-9.602488,288.9096
14.46014,-3.07999,-9.544705,307.999
14.48014,-3.269652,-9.483106,326.9652
14.50014,-3.458007,-9.417712,345.8007
14.52014,-3.644978,-9.348552,364.4977
14.54014,-3.830491,-9.275652,383.0491
14.56014,-4.014472,-9.199042,401.4471
14.58014,-4.196846,-9.118752,419.6847
14.60014,-4.377543,-9.034816,437.7543
14.62014,-4.556488,-8.947265,455.6488
14.64015,-4.733611,-8.856135,473.3611
14.66015,-4.90884,-8.761463,490.884
14.68015,-5.082106,-8.663286,508.2106
14.70015,-5.253338,-8.561645,525.3339
14.72015,-5.42247,-8.456578,542.247
14.74015,-5.589433,-8.348129,558.9433
14.76015,-5.754159,-8.236341,575.416
14.78015,-5.916584,-8.121258,591.6584
14.80015,-6.076643,-8.002926,607.6643
14.82015,-6.234271,-7.881393,623.4271
14.84015,-6.389405,-7.756708,638.9406
14.86015,-6.541984,-7.62892,654.1984
14.88015,-6.691945,-7.49808,669.1945
14.90015,-6.83923,-7.364241,683.923
14.92015,-6.983779,-7.227456,698.3779
14.94015,-7.125535,-7.08778,712.5535
14.96015,-7.26444,-6.94527,726.444
14.98015,-7.40044,-6.799981,740.0439
15.00015,-7.533479,-6.651972,753.3479
15.02015,-7.663505,-6.501302,766.3505
15.04015,-7.790466,-6.348032,779.0466
15.06015,-7.91431,-6.192223,791.431
15.08016,-8.034989,-6.033937,803.499
15.10016,-8.152454,-5.873237,815.2454
15.12016,-8.266658,-5.710187,826.6658
15.14016,-8.377555,-5.544854,837.7555
15.16016,-8.485101,-5.377303,848.5101
15.18016,-8.589252,-5.207601,858.9252
15.20016,-8.689969,-5.035816,868.9969
15.22016,-8.78721,-4.862017,878.7209
15.24016,-8.880935,-4.686273,888.0934
15.26016,-8.971107,-4.508654,897.1107
15.28016,-9.057693,-4.329232,905.7692
15.30016,-9.140655,-4.148078,914.0654
15.32016,-9.21996,-3.965265,921.996
15.34016,-9.295578,-3.780866,929.5578
15.36016,-9.367477,-3.594954,936.7477
15.38016,-9.43563,-3.407605,943.563
15.40016,-9.500008,-3.218892,950.0007
15.42016,-9.560585,-3.028892,956.0585
15.44016,-9.617338,-2.837681,961.7338
15.46016,-9.670245,-2.645334,967.0245
15.48016,-9.719284,-2.451929,971.9284
15.50016,-9.764435,-2.257543,976.4435
15.52017,-9.80568,-2.062254,980.5681
15.54017,-9.843003,-1.866141,984.3004
15.56017,-9.876389,-1.669281,987.6389
15.58017,-9.905824,-1.471753,990.5824
15.60017,-9.931296,-1.273637,993.1296
15.62017,-9.952797,-1.075011,995.2797
15.64017,-9.970316,-0.8759547,997.0316
15.66017,-9.983847,-0.6765484,998.3846
15.68017,-9.993384,-0.4768715,999.3384
15.70017,-9.998924,-0.2770038,999.8925
15.72017,-10.00046,-0.07702534,1000.046
15.74017,-9.998005,0.1229839,999.8005
15.76017,-9.991546,0.322944,999.1545
15.78017,-9.981091,0.5227749,998.1091
15.80017,-9.966642,0.7223967,996.6642
15.82017,-9.948208,0.9217296,994.8208
15.84017,-9.925794,1.120694,992.5793
15.86017,-9.899409,1.31921,989.9409
15.88017,-9.869065,1.517198,986.9066
15.90017,-9.834774,1.714579,983.4774
15.92017,-9.796549,1.911274,979.6549
15.94018,-9.754405,2.107205,975.4405
15.96018,-9.708359,2.302294,970.8359
15.98018,-9.658429,2.496461,965.8429
16.00018,-9.604636,2.689629,960.4636
16.02018,-9.547002,2.881722,954.7002
16.04018,-9.485549,3.072662,948.5549
16.06018,-9.420301,3.262373,942.0302
16.08018,-9.351286,3.450779,935.1286
16.10018,-9.27853,3.637805,927.853
16.12018,-9.202063,3.823375,920.2062
16.14018,-9.121914,4.007416,912.1914
16.16018,-9.038116,4.189855,903.8116
16.18018,-8.950705,4.370617,895.0704
16.20018,-8.859712,4.549631,885.9712
16.22018,-8.765175,4.726825,876.5175
16.24018,-8.667132,4.902129,866.7133
16.26018,-8.565623,5.075471,856.5623
16.28018,-8.460688,5.246784,846.0688
16.30018,-8.352367,5.415998,835.2368
16.32018,-8.240706,5.583045,824.0706
16.34018,-8.12575,5.747859,812.575
16.36018,-8.007542,5.910374,800.7542
16.38018,-7.886131,6.070525,788.6132
16.40018,-7.761566,6.228248,776.1566
16.42019,-7.633897,6.383479,763.3897
16.44019,-7.503174,6.536157,750.3174
16.46019,-7.36945,6.686221,736.9449
16.48019,-7.232778,6.83361,723.2778
16.50019,-7.093212,6.978265,709.3212
16.52019,-6.950809,7.12013,695.0809
16.54019,-6.805626,7.259146,680.5626
16.56019,-6.657721,7.395258,665.7721
16.58019,-6.507153,7.528413,650.7153
16.60019,-6.353981,7.658556,635.3981
16.62019,-6.198269,7.785635,619.8269
16.64019,-6.040077,7.909601,604.0077
16.66019,-5.879469,8.030402,587.9469
16.68019,-5.716509,8.147991,571.6509
16.70019,-5.551262,8.262321,555.1262
16.72019,-5.383795,8.373346,538.3795
16.74019,-5.214175,8.481022,521.4175
16.76019,-5.042469,8.585305,504.2469
16.78019,-4.868745,8.686154,486.8745
16.80019,-4.693075,8.783529,469.3075
16.82019,-4.515527,8.877391,451.5527
16.84019,-4.336173,8.967701,433.6172
16.8602,-4.155084,9.054424,415.5084
16.8802,-3.972334,9.137526,397.2334
16.9002,-3.787994,9.216972,378.7994
16.9202,-3.602139,9.292732,360.214
16.9402,-3.414844,9.364775,341.4844
16.9602,-3.226183,9.433071,322.6183
16.9802,-3.036231,9.497595,303.6231
17.0002,-2.845064,9.558319,284.5064
17.0202,-2.65276,9.61522,265.276
17.0402,-2.459394,9.668275,245.9395
17.0602,-2.265045,9.717463,226.5045
17.0802,-2.06979,9.762763,206.979
17.1002,-1.873707,9.804159,187.3707
17.1202,-1.676874,9.841633,167.6874
17.1402,-1.479371,9.875171,147.9371
17.1602,-1.281275,9.904758,128.1275
17.1802,-1.082668,9.930384,108.2668
17.2002,-0.883627,9.952037,88.3627
17.2202,-0.6842328,9.969709,68.42329
17.2402,-0.484565,9.983394,48.4565
17.2602,-0.2847033,9.993085,28.47033
17.2802,-0.08472767,9.998779,8.472768
17.30021,0.1152818,10.00047,-11.52818
17.32021,0.3152452,9.998168,-31.52452
17.34021,0.5150824,9.991863,-51.50824
17.36021,0.7147136,9.981562,-71.47137
17.38021,0.914059,9.967267,-91.4059
17.40021,1.113039,9.948986,-111.3039
17.42021,1.311573,9.926725,-131.1573
17.44021,1.509583,9.900494,-150.9583
17.46021,1.706989,9.870302,-170.6989
17.48021,1.903712,9.836163,-190.3712
17.50021,2.099674,9.798088,-209.9674
17.52021,2.294796,9.756095,-229.4796
17.54021,2.489,9.710199,-248.9
17.56021,2.682209,9.660419,-268.2209
17.58021,2.874344,9.606775,-287.4344
17.60021,3.06533,9.549289,-306.533
17.62021,3.25509,9.487982,-325.5089
17.64021,3.443547,9.42288,-344.3547
17.66021,3.630627,9.35401,-363.0627
17.68021,3.816255,9.281397,-381.6255
17.70021,4.000357,9.205071,-400.0357
17.72021,4.182858,9.125064,-418.2858
17.74022,4.363686,9.041407,-436.3686
17.76022,4.542769,8.954133,-454.2769
17.78022,4.720035,8.863277,-472.0034
17.80022,4.895412,8.768877,-489.5412
17.82022,5.068831,8.670969,-506.8831
17.84022,5.240223,8.569592,-524.0223
17.86022,5.409519,8.464788,-540.9519
17.88022,5.576651,8.356598,-557.6651
17.90022,5.741552,8.245065,-574.1552
17.92022,5.904157,8.130234,-590.4157
17.94022,6.0644,8.012151,-606.44
17.96022,6.222218,7.890863,-622.2217
17.98022,6.377546,7.766418,-637.7546
18.00022,6.530323,7.638867,-653.0323
18.02022,6.680488,7.508261,-668.0488
18.04022,6.827981,7.374651,-682.7981
18.06022,6.972743,7.238091,-697.2743
18.08022,7.114716,7.098637,-711.4716
18.10022,7.253842,6.956342,-725.3842
18.12022,7.390068,6.811265,-739.0068
18.14022,7.523337,6.663464,-752.3337
18.16022,7.653597,6.512997,-765.3597
18.18023,7.780796,6.359925,-778.0795
18.20023,7.904882,6.204309,-790.4882
18.22023,8.025806,6.046212,-802.5806
18.24023,8.14352,5.885695,-814.3521
18.26023,8.257977,5.722825,-825.7977
18.28023,8.36913,5.557665,-836.913
18.30023,8.476935,5.390283,-847.6935
18.32023,8.58135,5.220744,-858.135
18.34023,8.682333,5.049117,-868.2333
18.36023,8.779842,4.875471,-877.9843
18.38023,8.87384,4.699874,-887.384
18.40023,8.964289,4.522397,-896.4289
18.42023,9.051151,4.343111,-905.1151
18.44023,9.134393,4.162088,-913.4393
18.46023,9.213981,3.9794,-921.3981
18.48023,9.289883,3.79512,-928.9883
18.50023,9.362069,3.609323,-936.2069
18.52023,9.430511,3.422081,-943.051
18.54023,9.49518,3.233471,-949.518
18.56023,9.556051,3.043568,-955.6051
18.58023,9.6131,2.852447,-961.31
18.60023,9.666304,2.660185,-966.6304
18.62024,9.715641,2.466859,-971.5641
18.64024,9.761092,2.272546,-976.1092
18.66024,9.802639,2.077324,-980.2639
18.68024,9.840264,1.881271,-984.0264
18.70024,9.873954,1.684466,-987.3954
18.72024,9.903693,1.486987,-990.3693
18.74024,9.929471,1.288913,-992.9471
18.76024,9.951278,1.090324,-995.1277
18.78024,9.969104,0.8912983,-996.9104
18.80024,9.982943,0.6919162,-998.2943
18.82024,9.992787,0.4922574,-999.2787
18.84024,9.998635,0.2924016,-999.8635
18.86024,10.00048,0.09242894,-1000.048
18.88024,9.998332,-0.1075807,-999.8332
18.90024,9.992181,-0.3075474,-999.2181
18.92024,9.982033,-0.507391,-998.2032
18.94024,9.967892,-0.7070316,-996.7892
18.96024,9.949764,-0.9063894,-994.9764
18.98024,9.927656,-1.105385,-992.7656
19.00024,9.901577,-1.303938,-990.1577
19.02024,9.871537,-1.501969,-987.1537
19.04025,9.837549,-1.6994,-983.7549
19.06025,9.799626,-1.896151,-979.9626
19.08025,9.757784,-2.092144,-975.7784
19.10025,9.712038,-2.287299,-971.2038
19.12025,9.662407,-2.48154,-966.2407
19.14025,9.608912,-2.674788,-960.8912
19.16025,9.551572,-2.866966,-955.1572
19.18025,9.490412,-3.057998,-949.0412
19.20025,9.425456,-3.247806,-942.5456
19.22025,9.35673,-3.436315,-935.673
19.24025,9.284261,-3.62345,-928.4261
19.26025,9.208078,-3.809135,-920.8079
19.28025,9.128213,-3.993296,-912.8213
19.30025,9.044696,-4.17586,-904.4696
19.32025,8.957561,-4.356754,-895.756
19.34025,8.866842,-4.535905,-886.6842
19.36025,8.772577,-4.713242,-877.2578
19.38025,8.674804,-4.888694,-867.4803
19.40025,8.57356,-5.06219,-857.356
19.42025,8.468886,-5.233661,-846.8886
19.44025,8.360826,-5.403039,-836.0826
19.46025,8.24942,-5.570255,-824.942
19.48026,8.134715,-5.735244,-813.4715
19.50026,8.016756,-5.897938,-801.6756
19.52026,7.895591,-6.058273,-789.5591
19.54026,7.771267,-6.216185,-777.1267
19.56026,7.643835,-6.371611,-764.3835
19.58026,7.513345,-6.524487,-751.3345
19.60026,7.37985,-6.674754,-737.985
19.62026,7.243403,-6.822351,-724.3403
19.64026,7.104059,-6.967219,-710.4059
19.66026,6.961873,-7.1093,-696.1873
19.68026,6.816902,-7.248538,-681.6902
19.70026,6.669204,-7.384876,-666.9204
19.72026,6.518839,-7.51826,-651.8839
19.74026,6.365866,-7.648637,-636.5866
19.76026,6.210347,-7.775954,-621.0347
19.78026,6.052344,-7.900161,-605.2344
19.80026,5.89192,-8.021208,-589.192
19.82026,5.729139,-8.139047,-572.9139
19.84026,5.564066,-8.25363,-556.4066
19.86026,5.396768,-8.364911,-539.6768
19.88026,5.227311,-8.472846,-522.7311
19.90026,5.055763,-8.577393,-505.5763
19.92027,4.882193,-8.678508,-488.2193
19.94027,4.70667,-8.776152,-470.667
19.96027,4.529264,-8.870285,-452.9265
19.98027,4.350047,-8.960871,-435.0047
20.00027,4.16909,-9.047872,-416.909
20.02027,3.986465,-9.131253,-398.6465
20.04027,3.802245,-9.210982,-380.2245
20.06027,3.616505,-9.287027,-361.6505
20.08027,3.429317,-9.359358,-342.9318
20.10027,3.240759,-9.427944,-324.0759
20.12027,3.050904,-9.49276,-305.0904
20.14027,2.859828,-9.553778,-285.9828
20.16027,2.667608,-9.610974,-266.7609
20.18027,2.474322,-9.664327,-247.4322
20.20027,2.280046,-9.713813,-228.0046
20.22027,2.084857,-9.759414,-208.4857
20.24027,1.888835,-9.801111,-188.8835
20.26027,1.692057,-9.838888,-169.2057
20.28027,1.494603,-9.872729,-149.4603
20.30027,1.29655,-9.902621,-129.655
20.32027,1.097979,-9.928553,-109.7979
20.34027,0.8989691,-9.950512,-89.8969
20.36028,0.6995992,-9.968492,-69.95992
20.38028,0.4999495,-9.982484,-49.99495
20.40028,0.3000998,-9.992483,-30.00998
20.42028,0.1001301,-9.998486,-10.01301
20.44028,-0.09987962,-10.00049,9.987963
20.46028,-0.2998494,-9.99849,29.98494
20.48028,-0.4996993,-9.992494,49.96993
20.50028,-0.6993493,-9.9825,69.93493
20.52028,-0.8987195,-9.968513,89.87196
20.54028,-1.09773,-9.950539,109.773
20.56028,-1.296302,-9.928584,129.6302
20.58028,-1.494355,-9.902658,149.4355
20.60028,-1.69181,-9.872771,169.181
20.62028,-1.888589,-9.838935,188.8589
20.64028,-2.084612,-9.801163,208.4612
20.66028,-2.279802,-9.759471,227.9802
20.68028,-2.474079,-9.713875,247.4079
20.70028,-2.667367,-9.664393,266.7367
20.72028,-2.859588,-9.611046,285.9588
20.74028,-3.050665,-9.553854,305.0665
20.76028,-3.240522,-9.492841,324.0522
20.78028,-3.429082,-9.42803,342.9082
20.80029,-3.616271,-9.359448,361.6271
20.82029,-3.802014,-9.287123,380.2014
20.84029,-3.986235,-9.211082,398.6235
20.86029,-4.168862,-9.131358,416.8862
20.88029,-4.349822,-9.047981,434.9822
20.90029,-4.529042,-8.960985,452.9042
20.92029,-4.70645,-8.870404,470.645
20.94029,-4.881976,-8.776276,488.1976
20.96029,-5.055548,-8.678637,505.5548
20.98029,-5.227098,-8.577525,522.7098
